,summary_date_iso,campaign_name,impressions,clicks,installs,spend,CPI,CTR
56,2022-06-16T00:00:00,Super campaign 6,1566034,14800,0,16.09049,inf,0.9450624954502903
57,2022-06-16T00:00:00,Super campaign 9,0,0,22368,0.0,0.0,
58,2022-06-17T00:00:00,Super campaign 10,0,74070,6,1692.73,28212.166666666668,inf
59,2022-06-17T00:00:00,Super campaign 16,3879230,6578,1140,203.567,17.856754385964912,0.16956973419982832
60,2022-06-17T00:00:00,Super campaign 6,798064,4378,0,12.676755000000002,inf,0.5485775576896088
61,2022-06-17T00:00:00,Super campaign 9,0,0,22706,0.0,0.0,
62,2022-06-18T00:00:00,Super campaign 10,0,71816,0,1730.3,inf,inf
63,2022-06-18T00:00:00,Super campaign 16,3968270,7090,978,211.72840000000002,21.649120654396732,0.17866727818419614
64,2022-06-18T00:00:00,Super campaign 4,0,0,2,0.0,0.0,
65,2022-06-18T00:00:00,Super campaign 6,1891512,5836,0,11.70351,inf,0.3085362397912358
66,2022-06-18T00:00:00,Super campaign 9,0,0,15096,0.0,0.0,
67,2022-06-19T00:00:00,Super campaign 10,0,50402,0,1145.755,inf,inf
68,2022-06-19T00:00:00,Super campaign 16,4252782,8098,1034,222.3299,21.501924564796905,0.19041653204890352
69,2022-06-19T00:00:00,Super campaign 4,0,0,2,0.0,0.0,
70,2022-06-19T00:00:00,Super campaign 6,1605220,10914,0,10.72864,inf,0.679906804051781
71,2022-06-19T00:00:00,Super campaign 9,0,0,17920,0.0,0.0,
72,2022-06-20T00:00:00,Super campaign 10,0,49592,0,1364.61,inf,inf
73,2022-06-20T00:00:00,Super campaign 16,3525716,5648,990,165.22935,16.689833333333333,0.1601944115748404
74,2022-06-20T00:00:00,Super campaign 6,1341162,9952,0,14.138215,inf,0.7420430939737332
75,2022-06-20T00:00:00,Super campaign 9,0,0,16000,0.0,0.0,
76,2022-06-21T00:00:00,Super campaign 10,0,48772,0,1191.84,inf,inf
77,2022-06-21T00:00:00,Super campaign 16,3081762,4906,794,149.8445,18.872103274559198,0.15919464254540097
78,2022-06-21T00:00:00,Super campaign 6,1553684,11502,0,16.08828,inf,0.7403049783611082
79,2022-06-21T00:00:00,Super campaign 9,0,0,14902,0.0,0.0,
80,2022-06-22T00:00:00,Super campaign 10,0,41336,0,1138.605,inf,inf
81,2022-06-22T00:00:00,Super campaign 16,4652174,8038,994,304.17400000000004,30.60100603621731,0.1727794360228143
82,2022-06-22T00:00:00,Super campaign 4,0,0,2,0.0,0.0,
83,2022-06-22T00:00:00,Super campaign 5,0,0,2,0.0,0.0,
84,2022-06-22T00:00:00,Super campaign 6,1511434,8756,0,11.701105,inf,0.5793173899753479
85,2022-06-22T00:00:00,Super campaign 9,0,0,12942,0.0,0.0,
86,2022-06-23T00:00:00,Super campaign 10,0,474214,0,1204.19,inf,inf
87,2022-06-23T00:00:00,Super campaign 16,8569258,22592,452,777.2895000000001,171.96670353982302,0.2636400957935915
88,2022-06-23T00:00:00,Super campaign 6,1753612,16220,0,13.16289,inf,0.924948050081774
89,2022-06-23T00:00:00,Super campaign 9,0,0,40174,0.0,0.0,
90,2022-06-24T00:00:00,Super campaign 10,0,1215918,0,4803.045,inf,inf
91,2022-06-24T00:00:00,Super campaign 16,13153530,51988,64,1627.132,2542.39375,0.3952399089826077
92,2022-06-24T00:00:00,Super campaign 5,0,0,16,0.0,0.0,
93,2022-06-24T00:00:00,Super campaign 6,1165876,7198,0,14.627405,inf,0.6173898424875373
94,2022-06-24T00:00:00,Super campaign 9,0,0,83240,0.0,0.0,
95,2022-06-25T00:00:00,Super campaign 10,0,169358,0,4279.925,inf,inf
96,2022-06-25T00:00:00,Super campaign 16,11998744,69030,108,1627.3972,1506.8492592592593,0.5753102158025873
97,2022-06-25T00:00:00,Super campaign 5,0,0,6,0.0,0.0,
98,2022-06-25T00:00:00,Super campaign 6,1171690,9642,0,18.527145,inf,0.8229139106760321
99,2022-06-25T00:00:00,Super campaign 9,0,0,42274,0.0,0.0,
100,2022-06-26T00:00:00,Super campaign 10,0,274372,0,3228.355,inf,inf
101,2022-06-26T00:00:00,Super campaign 16,12373642,105344,190,1627.36795,856.509447368421,0.8513580722636067
102,2022-06-26T00:00:00,Super campaign 5,0,0,14,0.0,0.0,
103,2022-06-26T00:00:00,Super campaign 6,1665116,25344,0,12.67539,inf,1.5220561210149923
104,2022-06-26T00:00:00,Super campaign 9,0,0,43250,0.0,0.0,
105,2022-06-27T00:00:00,Super campaign 10,0,41214,0,3284.125,inf,inf
106,2022-06-27T00:00:00,Super campaign 16,6625678,75652,196,904.6791000000001,461.57096938775516,1.141800129737666
107,2022-06-27T00:00:00,Super campaign 5,0,0,36,0.0,0.0,
108,2022-06-27T00:00:00,Super campaign 6,2143352,11264,0,22.42942,inf,0.5255319704836163
109,2022-06-27T00:00:00,Super campaign 9,0,0,44898,0.0,0.0,
110,2022-06-28T00:00:00,Super campaign 10,0,41214,0,3392.4150000000004,inf,inf
111,2022-06-28T00:00:00,Super campaign 16,7677574,95692,422,651.6510000000001,154.4196682464455,1.2463832976406348
112,2022-06-28T00:00:00,Super campaign 5,0,0,62,0.0,0.0,
113,2022-06-28T00:00:00,Super campaign 6,1381458,12196,38,19.98932,52.60347368421052,0.8828353811697496
114,2022-06-28T00:00:00,Super campaign 9,0,0,13294,0.0,0.0,
115,2022-06-29T00:00:00,Super campaign 10,0,41214,0,854.0350000000001,inf,inf
116,2022-06-29T00:00:00,Super campaign 16,7393178,92184,1538,651.87525,42.384606631989605,1.2468792175705765
117,2022-06-29T00:00:00,Super campaign 5,0,0,104,0.0,0.0,
118,2022-06-29T00:00:00,Super campaign 6,5242288,38372,378,98.991555,26.18824206349207,0.7319704678567831
119,2022-06-29T00:00:00,Super campaign 9,0,0,610,0.0,0.0,
120,2022-06-30T00:00:00,Super campaign 10,0,41214,0,803.4,inf,inf
121,2022-06-30T00:00:00,Super campaign 16,7389618,74400,978,651.51905,66.61748977505113,1.0068179437692177
122,2022-06-30T00:00:00,Super campaign 5,0,0,132,0.0,0.0,
123,2022-06-30T00:00:00,Super campaign 6,3832006,34160,318,93.14565,29.29108490566038,0.8914391052623613
124,2022-06-30T00:00:00,Super campaign 9,0,0,20694,0.0,0.0,
125,2022-07-01T00:00:00,Super campaign 10,0,41214,0,952.77,inf,inf
126,2022-07-01T00:00:00,Super campaign 16,5638408,40922,198,451.8397,228.20186868686866,0.7257722392561872
127,2022-07-01T00:00:00,Super campaign 5,0,0,62,0.0,0.0,
128,2022-07-01T00:00:00,Super campaign 6,5825656,14414,180,42.424785,23.569325,0.24742277951186956
129,2022-07-01T00:00:00,Super campaign 9,0,0,11534,0.0,0.0,
130,2022-07-02T00:00:00,Super campaign 10,0,41214,0,883.6750000000001,inf,inf
131,2022-07-02T00:00:00,Super campaign 16,5753744,35580,182,314.88015,173.01107142857143,0.6183799626816904
132,2022-07-02T00:00:00,Super campaign 5,0,0,110,0.0,0.0,
133,2022-07-02T00:00:00,Super campaign 6,3337662,28710,156,44.369065,28.44170833333333,0.8601829663998332
134,2022-07-02T00:00:00,Super campaign 9,0,0,9518,0.0,0.0,
135,2022-07-03T00:00:00,Super campaign 10,0,41214,0,725.205,inf,inf
136,2022-07-03T00:00:00,Super campaign 16,5580182,65368,182,315.0368,173.09714285714287,1.1714313260750275
137,2022-07-03T00:00:00,Super campaign 5,0,0,110,0.0,0.0,
138,2022-07-03T00:00:00,Super campaign 6,4268296,24424,134,38.52056,28.746686567164183,0.5722189838755326
139,2022-07-03T00:00:00,Super campaign 9,0,0,9512,0.0,0.0,
140,2022-07-04T00:00:00,Super campaign 10,0,41214,0,722.15,inf,inf
141,2022-07-04T00:00:00,Super campaign 16,5204478,69914,186,309.22450000000003,166.2497311827957,1.3433431748582663
142,2022-07-04T00:00:00,Super campaign 5,0,0,158,0.0,0.0,
143,2022-07-04T00:00:00,Super campaign 6,0,0,72,0.0,0.0,
144,2022-07-04T00:00:00,Super campaign 9,0,0,10364,0.0,0.0,
145,2022-07-05T00:00:00,Super campaign 10,0,41214,0,616.005,inf,inf
146,2022-07-05T00:00:00,Super campaign 16,2772402,39632,134,162.79250000000002,121.48694029850748,1.4295185185986736
147,2022-07-05T00:00:00,Super campaign 5,0,0,74,0.0,0.0,
148,2022-07-05T00:00:00,Super campaign 6,0,0,42,0.0,0.0,
149,2022-07-05T00:00:00,Super campaign 9,0,0,324,0.0,0.0,
150,2022-07-06T00:00:00,Super campaign 10,0,41214,0,20.085,inf,inf
151,2022-07-06T00:00:00,Super campaign 16,4335026,27066,96,162.6014,169.37645833333335,0.624356116895262
152,2022-07-06T00:00:00,Super campaign 5,0,0,70,0.0,0.0,
153,2022-07-06T00:00:00,Super campaign 6,0,0,20,0.0,0.0,
154,2022-07-06T00:00:00,Super campaign 9,0,0,278,0.0,0.0,
155,2022-07-07T00:00:00,Super campaign 10,0,41214,0,10.66,inf,inf
156,2022-07-07T00:00:00,Super campaign 16,4210116,31610,126,162.72685,129.14829365079365,0.7508106664994504
157,2022-07-07T00:00:00,Super campaign 5,0,0,30,0.0,0.0,
158,2022-07-07T00:00:00,Super campaign 6,1976680,7498,94,13.655005,14.526601063829785,0.37932290507315297
159,2022-07-07T00:00:00,Super campaign 9,0,0,112,0.0,0.0,
160,2022-07-08T00:00:00,Super campaign 10,0,41214,0,10.66,inf,inf
161,2022-07-08T00:00:00,Super campaign 16,3983354,45128,104,162.70995000000002,156.45187500000003,1.1329146242086443
162,2022-07-08T00:00:00,Super campaign 5,0,0,46,0.0,0.0,
163,2022-07-08T00:00:00,Super campaign 6,1315994,19318,98,27.30078,27.857938775510206,1.4679398234338454
164,2022-07-08T00:00:00,Super campaign 9,0,0,68,0.0,0.0,
165,2022-07-09T00:00:00,Super campaign 10,0,41214,0,3.965,inf,inf
166,2022-07-09T00:00:00,Super campaign 16,3627398,66206,124,162.7626,131.26016129032257,1.8251650356536557
167,2022-07-09T00:00:00,Super campaign 5,0,0,14,0.0,0.0,
168,2022-07-09T00:00:00,Super campaign 6,1163260,13926,110,26.815035,24.37730454545455,1.197152829118168
169,2022-07-09T00:00:00,Super campaign 9,0,0,42,0.0,0.0,
170,2022-07-10T00:00:00,Super campaign 10,0,41214,0,3.1850000000000005,inf,inf
171,2022-07-10T00:00:00,Super campaign 16,3613864,61002,122,162.799,133.44180327868852,1.6879993270361031
172,2022-07-10T00:00:00,Super campaign 5,0,0,24,0.0,0.0,
173,2022-07-10T00:00:00,Super campaign 6,1410830,21090,110,27.302145,24.820131818181817,1.4948647250200235
174,2022-07-10T00:00:00,Super campaign 9,0,0,46,0.0,0.0,
175,2022-07-11T00:00:00,Super campaign 10,0,41214,0,2.275,inf,inf
176,2022-07-11T00:00:00,Super campaign 16,3243704,62674,150,158.50315,105.66876666666667,1.9321738358370553
177,2022-07-11T00:00:00,Super campaign 5,0,0,2,0.0,0.0,
178,2022-07-11T00:00:00,Super campaign 6,2427398,7696,88,21.45598,24.381795454545454,0.3170473074460801
179,2022-07-11T00:00:00,Super campaign 9,0,0,28,0.0,0.0,
180,2022-07-12T00:00:00,Super campaign 10,0,41214,0,0.78,inf,inf
181,2022-07-12T00:00:00,Super campaign 16,3234936,54536,144,148.73755,103.28996527777778,1.685844789510519
182,2022-07-12T00:00:00,Super campaign 4,0,0,2,0.0,0.0,
183,2022-07-12T00:00:00,Super campaign 6,2191556,15220,118,27.79166,23.552254237288135,0.6944837366692889
184,2022-07-12T00:00:00,Super campaign 9,0,0,8,0.0,0.0,
185,2022-07-13T00:00:00,Super campaign 10,0,41214,0,0.78,inf,inf
186,2022-07-13T00:00:00,Super campaign 16,3245200,69482,142,157.7173,111.06852112676056,2.14106988783434
187,2022-07-13T00:00:00,Super campaign 6,1876592,25534,148,37.05052,25.034135135135134,1.3606580439434892
188,2022-07-13T00:00:00,Super campaign 9,0,0,12,0.0,0.0,
189,2022-07-14T00:00:00,Super campaign 10,0,41214,0,0.91,inf,inf
190,2022-07-14T00:00:00,Super campaign 16,3042126,76614,142,164.41555,115.78559859154929,2.518436120002919
